Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
2L	2L305X305X34.9	40100	34400	6620	30.5                
2L	2L305X305X34.9X19	40100	34400	7330	30.5             
2L	2L305X305X34.9X38	40100	34400	8120	30.5             
2L	2L305X305X31.8	36600	31700	5990	30.5                
2L	2L305X305X31.8X19	36600	31700	6620	30.5             
2L	2L305X305X31.8X38	36600	31700	7330	30.5             
2L	2L305X305X28.6	33300	29100	5410	30.5                
2L	2L305X305X28.6X19	33300	29100	5990	30.5             
2L	2L305X305X28.6X38	33300	29100	6620	30.5             
2L	2L305X305X25.4	29700	26200	4790	30.5                
2L	2L305X305X25.4X19	29700	26200	5290	30.5             
2L	2L305X305X25.4X38	29700	26200	5870	30.5             
2L	2L254X254X34.9	33000	19200	3840	25.4                
2L	2L254X254X34.9X19	33000	19200	4370	25.4             
2L	2L254X254X34.9X38	33000	19200	4910	25.4             
2L	2L254X254X31.8	30200	17700	3470	25.4                
2L	2L254X254X31.8X19	30200	17700	3920	25.4             
2L	2L254X254X31.8X38	30200	17700	4450	25.4             
2L	2L254X254X28.6	27500	16300	3120	25.4                
2L	2L254X254X28.6X19	27500	16300	3530	25.4             
2L	2L254X254X28.6X38	27500	16300	4000	25.4             
2L	2L254X254X25.4	24500	14700	2770	25.4                
2L	2L254X254X25.4X19	24500	14700	3130	25.4             
2L	2L254X254X25.4X38	24500	14700	3530	25.4             
2L	2L254X254X22.2	21700	13200	2410	25.4                
2L	2L254X254X22.2X19	21700	13200	2730	25.4             
2L	2L254X254X22.2X38	21700	13200	3080	25.4             
2L	2L254X254X19	18700	11600	2080	25.4                  
2L	2L254X254X19X19	18700	11600	2340	25.4               
2L	2L254X254X19X38	18700	11600	2640	25.4               
2L	2L203X203X28.6	21700	8160	1630	20.3                 
2L	2L203X203X28.6X9	21700	8160	1750	20.3               
2L	2L203X203X28.6X19	21700	8160	1890	20.3              
2L	2L203X203X25.4	19500	7410	1440	20.3                 
2L	2L203X203X25.4X9	19500	7410	1560	20.3               
2L	2L203X203X25.4X19	19500	7410	1690	20.3              
2L	2L203X203X22.2	17200	6620	1250	20.3                 
2L	2L203X203X22.2X9	17200	6620	1360	20.3               
2L	2L203X203X22.2X19	17200	6620	1460	20.3              
2L	2L203X203X19	14800	5830	1070	20.3                   
2L	2L203X203X19X9	14800	5830	1150	20.3                 
2L	2L203X203X19X19	14800	5830	1250	20.3                
2L	2L203X203X15.9	12500	4950	891	20.3                  
2L	2L203X203X15.9X9	12500	4950	961	20.3                
2L	2L203X203X15.9X19	12500	4950	1040	20.3              
