Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
C	C380X74	9480	16800	45.8	38.1                         
C	C380X60	7610	14500	38.2	38.1                         
C	C380X50.4	6450	13100	33.6	38.1                       
C	C310X45	5680	6740	21.3	30.5                          
C	C310X37	4740	5990	18.5	30.5                          
C	C310X30.8	3920	5370	16.1	30.5                        
C	C250X45	5680	4290	16.4	25.4                          
C	C250X37	4740	3790	13.9	25.4                          
C	C250X30	3790	3280	11.7	25.4                          
C	C250X22.8	2890	2800	9.45	25.4                        
C	C230X30	3790	2530	10	22.9                            
C	C230X22	2840	2120	7.95	22.9                          
C	C230X19.9	2540	1990	7.28	22.9                        
C	C200X27.9	3550	1830	8.2	20.3                         
C	C200X20.5	2600	1500	6.33	20.3                        
C	C200X17.1	2170	1350	5.45	20.3                        
C	C180X22	2790	1130	5.7	17.8                           
C	C180X18.2	2320	1010	4.83	17.8                        
C	C180X14.6	1850	882	3.98	17.8                         
C	C150X19.3	2460	720	4.37	15.2                         
C	C150X15.6	1980	629	3.58	15.2                         
C	C150X12.2	1540	545	2.86	15.2                         
C	C130X13	1700	370	2.6	12.7                            
C	C130X10.4	1270	311	1.96	12.7                         
C	C100X10.8	1370	191	1.77	10.2                         
C	C100X9.3	1190	174	1.56	10.2                          
C	C100X8	1020	160	1.3	10.2                             
C	C100X6.7	865	147	1.1	10.2                            
C	C75X8.9	1140	86.2	1.25	7.62                          
C	C75X7.4	948	77	1	7.62                                
C	C75X6.1	774	68.7	0.795	7.62                          
C	C75X5.2	703	65.3	0.703	7.62                          
                                                       
