Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
HP	HP460X304	38800	145000	4660	46.5                    
HP	HP460X269	34300	126000	4050	45.7                    
HP	HP460X234	29800	107000	3470	45.1                    
HP	HP460X202	25700	91600	2940	44.5                     
HP	HP410X272	34900	104000	3400	41.9                    
HP	HP410X242	30800	91200	2900	41.4                     
HP	HP410X211	26900	77800	2490	40.6                     
HP	HP410X181	23100	66200	2100	40.1                     
HP	HP410X151	19300	54100	1710	39.4                     
HP	HP410X131	16600	46200	1450	38.9                     
HP	HP360X174	22200	50800	1840	36.1                     
HP	HP360X152	19400	43700	1580	35.6                     
HP	HP360X132	16800	37600	1360	35.1                     
HP	HP360X108	13800	30300	1090	34.5                     
HP	HP310X132	16700	28800	932	31.5                      
HP	HP310X125	15900	27100	887	31.2                      
HP	HP310X110	14100	23700	774	30.7                      
HP	HP310X93	11900	19600	637	30.2                       
HP	HP310X79	10000	16400	529	30                         
HP	HP250X85	10800	12200	420	25.4                       
HP	HP250X62	8000	8740	298	24.6                         
HP	HP200X53	6840	4950	168	20.4                         
                                                       
