Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
HSS	HSS609.6X304.8X19	30400	143000	4870	61             
HSS	HSS609.6X304.8X15.9	25500	122000	4160	61           
HSS	HSS609.6X304.8X12.7	20700	101000	3450	61           
HSS	HSS558.8X558.8X22.2	43400	207000	20700	55.9        
HSS	HSS558.8X558.8X19	37600	181000	18100	55.9          
HSS	HSS508X508X22.2	39200	153000	15300	50.8            
HSS	HSS508X508X19	33900	134000	13400	50.8              
HSS	HSS508X508X15.9	28600	114000	11400	50.8            
HSS	HSS508X508X12.7	23100	94100	9410	50.8              
HSS	HSS508X304.8X19	26800	91100	4110	50.8              
HSS	HSS508X304.8X15.9	22600	78300	3540	50.8            
HSS	HSS508X304.8X12.7	18300	64500	2930	50.8            
HSS	HSS508X304.8X9.5	13900	49900	2280	50.8             
HSS	HSS508X304.8X7.9	11700	42000	1930	50.8             
HSS	HSS508X203.2X15.9	19500	59900	1410	50.8            
HSS	HSS508X203.2X12.7	15900	49500	1180	50.8            
HSS	HSS508X203.2X9.5	12100	38500	924	50.8              
HSS	HSS508X203.2X7.9	10100	32700	787	50.8              
HSS	HSS508X101.6X12.7	13500	34900	244	50.8             
HSS	HSS508X101.6X9.5	10300	27300	198	50.8              
HSS	HSS508X101.6X7.9	8650	23300	171	50.8               
HSS	HSS508X101.6X6.4	6970	19100	143	50.8               
HSS	HSS457.2X457.2X22.2	35000	109000	10900	45.7        
HSS	HSS457.2X457.2X19	30400	96600	9660	45.7            
HSS	HSS457.2X457.2X15.9	25500	82400	8240	45.7          
HSS	HSS457.2X457.2X12.7	20700	67800	6780	45.7          
HSS	HSS457.2X152.4X15.9	16600	38400	658	45.7           
HSS	HSS457.2X152.4X12.7	13500	32000	558	45.7           
HSS	HSS457.2X152.4X9.5	10300	25100	441	45.7            
HSS	HSS457.2X152.4X7.9	8650	21400	380	45.7             
HSS	HSS457.2X152.4X6.4	6970	17400	313	45.7             
HSS	HSS406.4X406.4X22.2	30800	74900	7490	40.6          
HSS	HSS406.4X406.4X19.0	26800	66200	6620	40.6          
HSS	HSS406.4X406.4X15.9	22600	57000	5700	40.6          
HSS	HSS406.4X406.4X12.7	18300	47000	4700	40.6          
HSS	HSS406.4X406.4X9.5	13900	36300	3630	40.6           
HSS	HSS406.4X406.4X7.9	11700	30800	3080	40.6           
HSS	HSS406.4X304.8X19	23200	52900	3370	40.6            
HSS	HSS406.4X304.8X15.9	19500	45400	2910	40.6          
HSS	HSS406.4X304.8X12.7	15900	37600	2420	40.6          
HSS	HSS406.4X304.8X9.5	12100	29200	1880	40.6           
HSS	HSS406.4X304.8X7.9	10100	24800	1600	40.6           
HSS	HSS406.4X203.2X15.9	16600	33900	1140	40.6          
HSS	HSS406.4X203.2X12.7	13500	28300	957	40.6           
HSS	HSS406.4X203.2X9.5	10300	22100	753	40.6            
HSS	HSS406.4X203.2X7.9	8650	18800	645	40.6             
HSS	HSS406.4X203.2X6.4	6970	15300	529	40.6             
HSS	HSS406.4X101.6X15.9	13500	22400	225	40.6           
HSS	HSS406.4X101.6X12.7	11100	18900	196	40.6           
HSS	HSS406.4X101.6X9.5	8520	15000	159	40.6             
HSS	HSS406.4X101.6X7.9	7160	12800	138	40.6             
HSS	HSS406.4X101.6X6.4	5780	10500	115	40.6             
HSS	HSS406.4X101.6X4.8	4360	8030	89.5	40.6             
HSS	HSS355.6X355.6X22.2	26600	48700	4870	35.6          
HSS	HSS355.6X355.6X19	23200	43300	4330	35.6            
HSS	HSS355.6X355.6X15.9	19500	37300	3730	35.6          
HSS	HSS355.6X355.6X12.7	15900	30900	3090	35.6          
HSS	HSS355.6X355.6X9.5	12100	24000	2400	35.6           
HSS	HSS355.6X355.6X7.9	10100	20400	2040	35.6           
HSS	HSS355.6X254X15.9	16600	28600	1690	35.6            
HSS	HSS355.6X254X12.7	13500	23900	1420	35.6            
HSS	HSS355.6X254X9.5	10300	18600	1110	35.6             
HSS	HSS355.6X254X7.9	8650	15800	945	35.6               
HSS	HSS355.6X254X6.4	6970	12900	774	35.6               
HSS	HSS355.6X152.4X15.9	13500	19900	516	35.6           
HSS	HSS355.6X152.4X12.7	11100	16700	437	35.6           
HSS	HSS355.6X152.4X9.5	8520	13200	350	35.6             
HSS	HSS355.6X152.4X7.9	7160	11300	301	35.6             
HSS	HSS355.6X152.4X6.4	5780	9240	248	35.6              
HSS	HSS355.6X152.4X4.8	4360	7080	191	35.6              
HSS	HSS355.6X101.6X15.9	12100	15500	196	35.6           
HSS	HSS355.6X101.6X12.7	9870	13200	171	35.6            
HSS	HSS355.6X101.6X9.5	7610	10500	140	35.6             
HSS	HSS355.6X101.6X7.9	6400	8990	122	35.6              
HSS	HSS355.6X101.6X6.4	5180	7410	102	35.6              
HSS	HSS355.6X101.6X4.8	3910	5700	79.1	35.6             
HSS	HSS304.8X304.8X19	19500	26300	2630	30.5            
HSS	HSS304.8X304.8X15.9	16600	22800	2280	30.5          
HSS	HSS304.8X304.8X12.7	13500	19000	1900	30.5          
HSS	HSS304.8X304.8X9.5	10300	14900	1490	30.5           
HSS	HSS304.8X304.8X7.9	8650	12700	1270	30.5            
HSS	HSS304.8X304.8X6.4	6970	10300	1030	30.5            
HSS	HSS304.8X304.8X4.8	5260	7870	787	30.5              
HSS	HSS304.8X254X12.7	12300	16400	1240	30.5            
HSS	HSS304.8X254X9.5	9420	12900	974	30.5               
HSS	HSS304.8X254X7.9	7870	11000	832	30.5               
HSS	HSS304.8X254X6.4	6390	8990	683	30.5                
HSS	HSS304.8X203.2X15.9	13500	16500	874	30.5           
HSS	HSS304.8X203.2X12.7	11100	13900	741	30.5           
HSS	HSS304.8X203.2X9.5	8520	10900	583	30.5             
HSS	HSS304.8X203.2X7.9	7160	9320	499	30.5              
HSS	HSS304.8X203.2X6.4	5780	7660	411	30.5              
HSS	HSS304.8X203.2X4.8	4360	5830	315	30.5              
HSS	HSS304.8X152.4X15.9	12100	13400	445	30.5           
HSS	HSS304.8X152.4X12.7	9870	11300	379	30.5            
HSS	HSS304.8X152.4X9.5	7610	8950	303	30.5              
HSS	HSS304.8X152.4X7.9	6400	7660	261	30.5              
HSS	HSS304.8X152.4X6.4	5180	6290	216	30.5              
HSS	HSS304.8X152.4X4.8	3910	4830	166	30.5              
HSS	HSS304.8X101.6X15.9	10600	10200	168	30.5           
HSS	HSS304.8X101.6X12.7	8710	8740	147	30.5             
HSS	HSS304.8X101.6X9.5	6710	6990	120	30.5              
HSS	HSS304.8X101.6X7.9	5650	5990	105	30.5              
HSS	HSS304.8X101.6X6.4	4580	4950	87.4	30.5             
HSS	HSS304.8X101.6X4.8	3460	3820	68.3	30.5             
HSS	HSS304.8X88.9X9.5	6450	6490	88.7	30.5              
HSS	HSS304.8X88.9X7.9	5460	5580	77.4	30.5              
HSS	HSS304.8X76.2X7.9	5270	5160	54.5	30.5              
HSS	HSS304.8X76.2X6.4	4280	4290	46.2	30.5              
HSS	HSS304.8X76.2X4.8	3240	3310	36.3	30.5              
HSS	HSS304.8X50.8X7.9	4900	4330	21.2	30.5              
HSS	HSS304.8X50.8X6.4	3980	3620	18.4	30.5              
HSS	HSS304.8X50.8X4.8	3010	2810	14.8	30.5              
HSS	HSS254X254X19	15900	14400	1440	25.4                
HSS	HSS254X254X15.9	13500	12700	1270	25.4              
HSS	HSS254X254X12.7	11100	10700	1070	25.4              
HSS	HSS254X254X9.5	8520	8410	841	25.4                  
HSS	HSS254X254X7.9	7160	7160	716	25.4                  
HSS	HSS254X254X6.4	5780	5870	587	25.4                  
HSS	HSS254X254X4.8	4360	4500	450	25.4                  
HSS	HSS254X203.2X15.9	12100	10500	741	25.4             
HSS	HSS254X203.2X12.7	9870	8910	629	25.4               
HSS	HSS254X203.2X9.5	7610	7030	499	25.4                
HSS	HSS254X203.2X7.9	6400	6040	429	25.4                
HSS	HSS254X203.2X6.4	5180	4950	353	25.4                
HSS	HSS254X203.2X4.8	3910	3800	271	25.4                
HSS	HSS254X152.4X15.9	10600	8370	372	25.4              
HSS	HSS254X152.4X12.7	8710	7120	320	25.4               
HSS	HSS254X152.4X9.5	6710	5700	257	25.4                
HSS	HSS254X152.4X7.9	5650	4910	222	25.4                
HSS	HSS254X152.4X6.4	4580	4030	184	25.4                
HSS	HSS254X152.4X4.8	3460	3110	142	25.4                
HSS	HSS254X127X9.5	6240	4990	169	25.4                  
HSS	HSS254X127X7.9	5270	4330	147	25.4                  
HSS	HSS254X127X6.4	4280	3570	122	25.4                  
HSS	HSS254X127X4.8	3240	2760	94.5	25.4                 
HSS	HSS254X101.6X15.9	9030	6200	139	25.4               
HSS	HSS254X101.6X12.7	7480	5370	123	25.4               
HSS	HSS254X101.6X9.5	5790	4330	101	25.4                
HSS	HSS254X101.6X7.9	4900	3750	88.2	25.4               
HSS	HSS254X101.6X6.4	3980	3110	73.7	25.4               
HSS	HSS254X101.6X4.8	3010	2410	57.9	25.4               
HSS	HSS254X101.6X3.2	2040	1660	40.2	25.4               
HSS	HSS254X88.9X12.7	7160	4910	89.1	25.4               
HSS	HSS254X88.9X9.5	5560	4000	74.1	25.4                
HSS	HSS254X88.9X7.9	4710	3460	64.9	25.4                
HSS	HSS254X88.9X6.4	3830	2880	54.5	25.4                
HSS	HSS254X88.9X4.8	2900	2230	42.9	25.4                
HSS	HSS254X88.9X3.2	1960	1540	30.1	25.4                
HSS	HSS254X76.2X9.5	5340	3660	51.6	25.4                
HSS	HSS254X76.2X7.9	4520	3180	45.8	25.4                
HSS	HSS254X76.2X6.4	3680	2650	38.6	25.4                
HSS	HSS254X76.2X4.8	2790	2060	30.5	25.4                
HSS	HSS254X76.2X3.2	1890	1420	21.5	25.4                
HSS	HSS254X50.8X9.5	4890	2980	19.6	25.4                
HSS	HSS254X50.8X7.9	4150	2610	17.6	25.4                
HSS	HSS254X50.8X6.4	3380	2190	15.3	25.4                
HSS	HSS254X50.8X4.8	2570	1710	12.4	25.4                
HSS	HSS254X50.8X3.2	1740	1190	8.91	25.4                
HSS	HSS228.6X228.6X15.9	12100	8990	899	22.9            
HSS	HSS228.6X228.6X12.7	9870	7620	762	22.9             
HSS	HSS228.6X228.6X9.5	7610	6040	604	22.9              
HSS	HSS228.6X228.6X7.9	6400	5160	516	22.9              
HSS	HSS228.6X228.6X6.4	5180	4250	425	22.9              
HSS	HSS228.6X228.6X74.8	3910	3250	325	22.9             
HSS	HSS228.6X228.6X3.2	2640	2230	223	22.9              
HSS	HSS228.6X177.8X15.9	10600	7240	487	22.9            
HSS	HSS228.6X177.8X12.7	8710	6200	416	22.9             
HSS	HSS228.6X177.8X9.5	6710	4950	335	22.9              
HSS	HSS228.6X177.8X7.9	5650	4250	288	22.9              
HSS	HSS228.6X177.8X6.4	4580	3500	238	22.9              
HSS	HSS228.6X177.8X4.8	3460	2690	184	22.9              
HSS	HSS228.6X127X15.9	9030	5540	216	22.9               
HSS	HSS228.6X127X12.7	7480	4790	188	22.9               
HSS	HSS228.6X127X9.5	5790	3850	153	22.9                
HSS	HSS228.6X127X7.9	4900	3320	133	22.9                
HSS	HSS228.6X127X6.4	3980	2750	111	22.9                
HSS	HSS228.6X127X4.8	3010	2130	86.2	22.9               
HSS	HSS228.6X76.2X12.7	6280	3360	54.9	22.9             
HSS	HSS228.6X76.2X9.5	4890	2760	46.6	22.9              
HSS	HSS228.6X76.2X7.9	4150	2400	41.1	22.9              
HSS	HSS228.6X76.2X6.4	3380	2010	34.9	22.9              
HSS	HSS228.6X76.2X4.8	2570	1570	27.6	22.9              
HSS	HSS203.2X203.2X15.9	10600	6080	608	20.3            
HSS	HSS203.2X203.2X12.7	8710	5200	520	20.3             
HSS	HSS203.2X203.2X9.5	6710	4160	416	20.3              
HSS	HSS203.2X203.2X7.9	5650	3560	356	20.3              
HSS	HSS203.2X203.2X6.4	4580	2940	294	20.3              
HSS	HSS203.2X203.2X4.8	3460	2260	226	20.3              
HSS	HSS203.2X203.2X3.2	2340	1560	156	20.3              
HSS	HSS203.2X152.4X15.9	9030	4750	301	20.3             
HSS	HSS203.2X152.4X12.7	7480	4090	260	20.3             
HSS	HSS203.2X152.4X9.5	5790	3290	211	20.3              
HSS	HSS203.2X152.4X7.9	4900	2840	182	20.3              
HSS	HSS203.2X152.4X6.4	3980	2360	152	20.3              
HSS	HSS203.2X152.4X4.8	3010	1820	117	20.3              
HSS	HSS203.2X101.6X15.9	7550	3410	111	20.3             
HSS	HSS203.2X101.6X12.7	6280	2990	98.2	20.3            
HSS	HSS203.2X101.6X9.5	4890	2440	81.6	20.3             
HSS	HSS203.2X101.6X7.9	4150	2120	71.6	20.3             
HSS	HSS203.2X101.6X6.4	3380	1770	59.9	20.3             
HSS	HSS203.2X101.6X4.8	2570	1380	47	20.3               
HSS	HSS203.2X101.6X3.2	1740	953	32.9	20.3              
HSS	HSS203.2X76.2X12.7	5680	2440	48.7	20.3             
HSS	HSS203.2X76.2X9.5	4440	2020	41.6	20.3              
HSS	HSS203.2X76.2X7.9	3770	1760	36.7	20.3              
HSS	HSS203.2X76.2X6.4	3080	1480	31.2	20.3              
HSS	HSS203.2X76.2X4.8	2340	1160	24.7	20.3              
HSS	HSS203.2X76.2X3.2	1590	803	17.5	20.3               
HSS	HSS203.2X50.8X9.5	3990	1590	15.5	20.3              
HSS	HSS203.2X50.8X7.9	3390	1400	14.1	20.3              
HSS	HSS203.2X50.8X6.4	2770	1190	12.2	20.3              
HSS	HSS203.2X50.8X4.8	2120	932	9.95	20.3               
HSS	HSS203.2X50.8X3.2	1440	653	7.16	20.3               
HSS	HSS177.8X177.8X15.9	9030	3890	389	17.8             
HSS	HSS177.8X177.8X12.7	7480	3350	335	17.8             
HSS	HSS177.8X177.8X9.5	5790	2710	271	17.8              
HSS	HSS177.8X177.8X7.9	4900	2340	234	17.8              
HSS	HSS177.8X177.8X6.4	3980	1940	194	17.8              
HSS	HSS177.8X177.8X4.8	3010	1500	150	17.8              
HSS	HSS177.8X177.8X3.2	2040	1030	103	17.8              
HSS	HSS177.8X127X12.7	6280	2520	148	17.8               
HSS	HSS177.8X127X9.5	4890	2060	122	17.8                
HSS	HSS177.8X127X7.9	4150	1790	106	17.8                
HSS	HSS177.8X127X6.4	3380	1490	88.7	17.8               
HSS	HSS177.8X127X4.8	2570	1160	69.1	17.8               
HSS	HSS177.8X127X3.2	1740	803	48.3	17.8                
HSS	HSS177.8X101.6X12.7	5680	2110	86.2	17.8            
HSS	HSS177.8X101.6X9.5	4440	1740	72	17.8               
HSS	HSS177.8X101.6X7.9	3770	1520	63.3	17.8             
HSS	HSS177.8X101.6X6.4	3080	1270	53.3	17.8             
HSS	HSS177.8X101.6X4.8	2340	991	41.6	17.8              
HSS	HSS177.8X101.6X3.2	1590	691	29.3	17.8              
HSS	HSS177.8X76.2X12.7	5080	1690	42.5	17.8             
HSS	HSS177.8X76.2X9.5	3990	1420	36.3	17.8              
HSS	HSS177.8X76.2X7.9	3390	1240	32.2	17.8              
HSS	HSS177.8X76.2X6.4	2770	1050	27.5	17.8              
HSS	HSS177.8X76.2X4.8	2120	824	21.8	17.8               
HSS	HSS177.8X76.2X3.2	1440	574	15.4	17.8               
HSS	HSS177.8X50.8X6.4	2480	824	10.7	17.8               
HSS	HSS177.8X50.8X4.8	1890	653	8.74	17.8               
HSS	HSS177.8X50.8X3.2	1290	462	6.33	17.8               
HSS	HSS152.4X152.4X15.9	7550	2300	230	15.2             
HSS	HSS152.4X152.4X12.7	6280	2010	201	15.2             
HSS	HSS152.4X152.4X9.5	4890	1640	164	15.2              
HSS	HSS152.4X152.4X7.9	4150	1430	143	15.2              
HSS	HSS152.4X152.4X6.4	3380	1190	119	15.2              
HSS	HSS152.4X152.4X4.8	2570	928	92.8	15.2              
HSS	HSS152.4X152.4X3.2	1740	645	64.5	15.2              
HSS	HSS152.4X127X12.7	5680	1710	128	15.2               
HSS	HSS152.4X127X9.5	4440	1410	106	15.2                
HSS	HSS152.4X127X7.9	3770	1230	92.8	15.2               
HSS	HSS152.4X127X6.4	3080	1030	77.8	15.2               
HSS	HSS152.4X127X4.8	2340	803	60.8	15.2                
HSS	HSS152.4X127X3.2	1590	558	42.5	15.2                
HSS	HSS152.4X101.6X12.7	5080	1420	74.1	15.2            
HSS	HSS152.4X101.6X9.5	3990	1180	62	15.2               
HSS	HSS152.4X101.6X7.9	3390	1030	54.9	15.2             
HSS	HSS152.4X101.6X6.4	2770	870	46.2	15.2              
HSS	HSS152.4X101.6X4.8	2120	683	36.5	15.2              
HSS	HSS152.4X101.6X3.2	1440	475	25.6	15.2              
HSS	HSS152.4X76.2X12.7	4480	1120	36.2	15.2             
HSS	HSS152.4X76.2X9.5	3540	945	31.1	15.2               
HSS	HSS152.4X76.2X7.9	3020	837	27.8	15.2               
HSS	HSS152.4X76.2X6.4	2480	708	23.7	15.2               
HSS	HSS152.4X76.2X4.8	1890	558	18.9	15.2               
HSS	HSS152.4X76.2X3.2	1290	393	13.4	15.2               
HSS	HSS152.4X50.8X9.5	3080	712	11.5	15.2               
HSS	HSS152.4X50.8X7.9	2650	637	10.5	15.2               
HSS	HSS152.4X50.8X6.4	2170	545	9.2	15.2                
HSS	HSS152.4X50.8X4.8	1660	437	7.49	15.2               
