Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
L	L305X305X34.9	20100	17200	1720	30.5                  
L	L305X305X31.8	18300	15900	1590	30.5                  
L	L305X305X28.6	16600	14600	1460	30.5                  
L	L305X305X25.4	14800	13100	1310	30.5                  
L	L254X254X34.9	16500	9610	961	25.4                    
L	L254X254X31.8	15100	8870	887	25.4                    
L	L254X254X28.6	13700	8160	816	25.4                    
L	L254X254X25.4	12300	7370	737	25.4                    
L	L254X254X22.2	10800	6580	658	25.4                    
L	L254X254X19	9360	5790	579	25.4                       
L	L203X203X28.6	10800	4080	408	20.3                    
L	L203X203X25.4	9740	3710	371	20.3                     
L	L203X203X22.2	8580	3320	332	20.3                     
L	L203X203X19	7420	2910	291	20.3                       
L	L203X203X15.9	6250	2480	248	20.3                     
L	L203X203X14.3	5660	2260	226	20.3                     
L	L203X203X12.7	5060	2030	203	20.3                     
L	L203X152X25.4	8450	3370	161	15.2                     
L	L203X152X22.2	7420	3010	145	15.2                     
L	L203X152X19	6450	2640	128	15.2                       
L	L203X152X15.9	5430	2260	110	15.2                     
L	L203X152X14.3	4910	2060	100	15.2                     
L	L203X152X12.7	4390	1850	90.3	15.2                    
L	L203X152X11.1	3860	1640	80.3	15.2                    
L	L203X102X25.4	7160	2900	48.3	10.2                    
L	L203X102X22.2	6320	2610	43.7	10.2                    
L	L203X102X19	5480	2290	39	10.2                        
L	L203X102X15.9	4620	1960	33.8	10.2                    
L	L203X102X14.3	4190	1790	31	10.2                      
L	L203X102X12.7	3740	1610	28.1	10.2                    
L	L203X102X11.1	3300	1420	25.1	10.2                    
L	L178X102X19	4990	1570	37.5	10.2                      
L	L178X102X15.9	4190	1350	32.4	10.2                    
L	L178X102X12.7	3390	1110	27	10.2                      
L	L178X102X11.1	2990	982	24.1	10.2                     
L	L178X102X9.5	2580	853	21.1	10.2                      
L	L152X152X25.4	7100	1470	147	15.2                     
L	L152X152X22.2	6290	1330	133	15.2                     
L	L152X152X19	5460	1170	117	15.2                       
L	L152X152X15.9	4600	1000	100	15.2                     
L	L152X152X14.3	4160	916	91.6	15.2                     
L	L152X152X12.7	3720	828	82.8	15.2                     
L	L152X152X11.1	3280	733	73.3	15.2                     
L	L152X152X9.5	2830	641	64.1	15.2                      
L	L152X152X7.9	2370	541	54.1	15.2                      
L	L152X102X22.2	5160	1150	40.4	10.2                    
L	L152X102X19	4480	1020	35.9	10.2                      
L	L152X102X15.9	3780	874	31.1	10.2                     
L	L152X102X14.3	3430	799	28.6	10.2                     
L	L152X102X12.7	3060	720	25.9	10.2                     
L	L152X102X11.1	2700	641	23.1	10.2                     
L	L152X102X9.5	2330	558	20.2	10.2                      
L	L152X102X7.9	1950	475	17.2	10.2                      
L	L152X89X12.7	2900	691	17.6	8.89                      
L	L152X89X9.5	2220	537	13.9	8.89                       
L	L152X89X7.9	1860	454	11.8	8.89                       
L	L127X127X22.2	5160	741	74.1	12.7                     
L	L127X127X19	4500	653	65.3	12.7                       
L	L127X127X15.9	3810	566	56.6	12.7                     
L	L127X127X12.7	3090	470	47	12.7                       
