Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
PIPE	Pipe650STD	18200	96600	9660	66                    
PIPE	Pipe600STD	16800	75700	7570	61                    
PIPE	Pipe500STD	13900	43300	4330	50.8                  
PIPE	Pipe450STD	12500	31500	3150	45.7                  
PIPE	Pipe400STD	11100	21900	2190	40.64                 
PIPE	Pipe350STD	9680	14600	1460	35.56                  
PIPE	Pipe300STD	8840	10900	1090	32.38                  
PIPE	Pipe250STD	7420	6290	629	27.3                     
PIPE	Pipe200STD	5060	2830	283	21.91                    
PIPE	Pipe150STD	3350	1100	110	16.83                    
PIPE	Pipe125STD	2590	595	59.5	14.13                    
PIPE	Pipe100STD	1910	284	28.4	11.43                    
PIPE	Pipe90STD	1610	188	18.8	10.16                     
PIPE	Pipe80STD	1340	119	11.9	8.89                      
PIPE	Pipe65STD	1040	60.4	6.04	7.3                      
PIPE	Pipe50STD	658	26.1	2.61	6.03                      
PIPE	Pipe40STD	483	12.2	1.22	4.83                      
PIPE	Pipe32STD	403	7.66	0.766	4.22                     
PIPE	Pipe25STD	303	3.45	0.345	3.34                     
PIPE	Pipe20STD	201	1.46	0.146	2.67                     
PIPE	Pipe15STD	151	0.666	0.0667	2.13                   
PIPE	Pipe650XS	23300	123000	12300	66                   
PIPE	Pipe600XS	21500	96100	9610	61                     
PIPE	Pipe500XS	17800	54900	5490	50.8                   
PIPE	Pipe450XS	16000	39800	3980	45.7                   
PIPE	Pipe400XS	14200	27700	2770	40.64                  
PIPE	Pipe350XS	12400	18300	1830	35.56                  
PIPE	Pipe300XS	11300	14100	1410	32.38                  
PIPE	Pipe250XS	9740	8280	828	27.3                      
PIPE	Pipe200XS	7680	4160	416	21.91                     
PIPE	Pipe150XS	5050	1590	159	16.83                     
PIPE	Pipe125XS	3700	812	81.2	14.13                     
PIPE	Pipe100XS	2670	380	38	11.43                       
PIPE	Pipe90XS	2210	247	24.7	10.16                      
PIPE	Pipe80XS	1830	154	15.4	8.89                       
PIPE	Pipe65XS	1350	76.2	7.62	7.3                       
PIPE	Pipe50XS	903	34.4	3.44	6.03                       
PIPE	Pipe40XS	645	15.5	1.55	4.83                       
PIPE	Pipe32XS	540	9.61	0.961	4.22                      
PIPE	Pipe25XS	388	4.2	0.42	3.35                        
PIPE	Pipe20XS	263	1.79	0.179	2.67                      
PIPE	Pipe15XS	195	0.791	0.0791	2.13                    
PIPE	Pipe300XXS	22800	26000	2600	32.38                 
PIPE	Pipe250XXS	18600	14700	1470	27.3                  
PIPE	Pipe200XXS	12900	6410	641	21.91                   
PIPE	Pipe150XXS	9480	2640	264	16.83                    
PIPE	Pipe125XXS	6900	1340	134	14.13                    
PIPE	Pipe100XXS	4940	612	61.2	11.43                    
PIPE	Pipe80XXS	3340	241	24.1	8.89                      
PIPE	Pipe65XXS	2470	116	11.6	7.3                       
PIPE	Pipe50XXS	1620	52.9	5.29	6.03                     
                                                       
