Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
W	W1100X499	635	1290000	4990	112                       
W	W1100X433	55100	1120000	4330	111                     
W	W1100X390	49800	1000000	3840	110                     
W	W1100X343	43700	866000	3310	109                      
W	W1000X976	125000	2350000	11900	111                   
W	W1000X883	112000	2100000	10500	109                   
W	W1000X748	95500	1730000	8490	107                     
W	W1000X642	81900	1450000	7030	105                     
W	W1000X591	75500	1330000	6410	104                     
W	W1000X554	71000	1230000	5910	103                     
W	W1000X539	68400	1200000	5740	103                     
W	W1000X483	61500	1070000	5080	102                     
W	W1000X443	56300	966000	4540	101                      
W	W1000X412	52600	912000	4330	101                      
W	W1000X371	47400	816000	3850	100                      
W	W1000X321	41000	695000	3340	99.1                     
W	W1000X296	37900	620000	2890	98.3                     
W	W1000X584	74800	1240000	3340	106                     
W	W1000X494	63000	1030000	2680	104                     
W	W1000X486	61900	1020000	2660	104                     
W	W1000X438	55600	912000	2340	103                      
W	W1000X415	53100	853000	2170	102                      
W	W1000X393	49900	807000	2050	102                      
W	W1000X350	44600	724000	1850	101                      
W	W1000X314	40100	645000	1620	100                      
W	W1000X272	34400	549000	1380	99.1                     
W	W1000X249	31800	483000	1180	98                       
W	W1000X222	28300	408000	953	97                        
W	W920X1377	175000	3040000	20600	109                   
W	W920X1269	162000	2910000	19100	109                   
W	W920X1194	152000	2700000	17500	108                   
W	W920X1077	137000	2380000	15400	106                   
W	W920X970	124000	2110000	13400	104                    
W	W920X787	101000	1650000	10400	101                    
W	W920X725	92300	1500000	9370	99.8                     
W	W920X656	83900	1340000	8280	98.8                     
W	W920X588	74800	1190000	7280	97.5                     
W	W920X537	68400	1070000	6530	96.5                     
W	W920X491	62500	970000	5910	95.8                      
W	W920X449	57400	878000	5410	94.7                      
W	W920X420	53500	816000	4990	94.2                      
W	W920X390	49800	745000	4540	93.7                      
W	W920X368	46800	695000	4200	93.2                      
W	W920X344	44000	649000	3910	92.7                      
W	W920X381	48600	699000	2200	95.1                      
W	W920X345	43900	624000	1950	94.3                      
W	W920X313	39900	549000	1710	93.2                      
W	W920X289	36800	504000	1560	92.7                      
W	W920X271	34600	470000	1440	92.2                      
W	W920X253	32300	437000	1330	91.9                      
W	W920X238	30300	406000	1230	91.4                      
W	W920X223	28600	376000	1120	91.2                      
W	W920X201	25700	325000	937	90.4                       
W	W840X576	73500	1010000	6740	91.4                     
W	W840X527	67100	916000	6080	90.4                      
W	W840X473	60500	812000	5370	89.4                      
W	W840X433	55200	737000	4830	88.4                      
W	W840X392	49900	662000	4330	87.6                      
W	W840X359	45900	591000	3880	86.9                      
W	W840X329	42100	537000	3500	86.1                      
W	W840X299	38100	483000	3120	85.6                      
W	W840X251	31900	387000	1290	85.9                      
W	W840X226	29000	340000	1140	85.1                      
W	W840X210	26800	310000	1020	84.6                      
W	W840X193	24700	279000	907	84.1                       
