Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
WT	WT550X249.5	31700	90300	2500	55.9                   
WT	WT550X216.5	27500	76200	2170	55.4                   
WT	WT550X195	24800	68300	1920	55.1                     
WT	WT550X171.5	21900	59900	1660	54.6                   
WT	WT500X488	62200	155000	5990	55.4                    
WT	WT500X441.5	56300	138000	5240	54.6                  
WT	WT500X374	47700	114000	4250	53.3                    
WT	WT500X321	40800	95300	3510	52.3                     
WT	WT500X295.5	37600	86200	3210	52.1                   
WT	WT500X277	35300	80300	2950	51.6                     
WT	WT500X269.5	34300	77800	2880	51.6                   
WT	WT500X241.5	30800	68700	2530	51.1                   
WT	WT500X221.5	28100	62400	2270	50.5                   
WT	WT500X206	26300	56600	2170	50.3                     
WT	WT500X185.5	23700	50400	1930	50                     
WT	WT500X160.5	20500	42900	1660	49.5                   
WT	WT500X148	18800	41100	1440	49                       
WT	WT500X292	37300	94500	1670	52.8                     
WT	WT500X247	31500	78300	1340	51.8                     
WT	WT500X243	30900	76600	1330	51.8                     
WT	WT500X219	27800	67800	1170	51.3                     
WT	WT500X207.5	26500	64500	1090	51.1                   
WT	WT500X196.5	25000	60400	1020	50.8                   
WT	WT500X175	22300	52400	924	50.3                      
WT	WT500X157	20100	46600	812	50                        
WT	WT500X136	17200	39800	687	49.5                      
WT	WT500X124.5	15800	37400	587	49                      
WT	WT500X111	14100	33900	475	48.5                      
WT	WT460X688.5	87700	214000	10300	54.9                 
WT	WT460X634.5	81300	186000	9570	54.9                  
WT	WT460X597	76100	171000	8740	54.1                    
WT	WT460X538.5	69000	150000	7700	53.1                  
WT	WT460X485	62100	132000	6700	52.1                    
WT	WT460X393.5	50200	102000	5160	50.5                  
WT	WT460X362.5	46300	92400	4660	50                     
WT	WT460X328	41900	82400	4150	49.3                     
WT	WT460X294	37500	72400	3650	48.8                     
WT	WT460X268.5	34200	65300	3270	48.3                   
WT	WT460X245.5	31200	58700	2960	47.8                   
WT	WT460X224.5	28700	53300	2700	47.5                   
WT	WT460X210	26800	49500	2490	47.2                     
WT	WT460X195	24800	46200	2270	46.7                     
WT	WT460X184	23400	43300	2110	46.5                     
WT	WT460X171.9	22000	40700	1960	46.4                   
WT	WT460X190.5	24300	50400	1100	47.5                   
WT	WT460X172.5	21900	45000	974	47.2                    
WT	WT460X156.5	19900	41000	857	46.5                    
WT	WT460X144.5	18400	37500	778	46.2                    
WT	WT460X135.5	17300	35200	724	46.2                    
WT	WT460X126.5	16100	32700	666	46                      
WT	WT460X119	15200	30800	612	45.7                      
WT	WT460X111.5	14300	29100	562	45.5                    
WT	WT460X100.5	12800	26500	470	45.2                    
WT	WT420X288	36800	60800	3370	45.7                     
WT	WT420X263.5	33600	54900	3030	45.2                   
WT	WT420X236.5	30200	48300	2680	44.7                   
WT	WT420X216.5	27600	44100	2420	44.2                   
WT	WT420X196	25000	39300	2150	43.9                     
WT	WT420X179.5	23000	36300	1940	43.4                   
WT	WT420X164.5	21000	33300	1750	43.2                   
WT	WT420X149.5	19200	30200	1560	42.7                   
WT	WT420X125.5	15900	27000	645	42.9                    
WT	WT420X113	14500	24600	566	42.4                      
WT	WT420X105	13400	23000	512	42.4                      
WT	WT420X96.5	12300	21400	454	41.9                     
WT	WT420X88	11200	19500	389	41.7                       
WT	WT380X291	37200	50800	3220	42.2                     
WT	WT380X265.5	33900	45400	2880	41.7                   
WT	WT380X242	31000	40800	2590	41.1                     
WT	WT380X217	27700	35800	2290	40.6                     
WT	WT380X194.5	24800	31800	2000	40.1                   
WT	WT380X175	22400	28100	1780	39.9                     
WT	WT380X157	20100	25400	1570	39.4                     
WT	WT380X142	18100	22900	1400	38.9                     
WT	WT380X128.5	16400	20700	1240	38.6                   
WT	WT380X110	14100	19400	475	38.9                      
WT	WT380X98	12600	17500	408	38.6                       
WT	WT380X92.5	11700	16500	376	38.4                     
WT	WT380X86.5	11000	15500	342	38.1                     
WT	WT380X80.5	10300	14500	304	37.8                     
WT	WT380X73.5	9350	13400	266	37.6                      
WT	WT380X67	8520	12100	239	37.6                        
WT	WT345X401	51200	63700	4410	41.4                     
WT	WT345X274	35000	39100	2730	38.6                     
WT	WT345X250	31900	34900	2440	38.1                     
WT	WT345X228.5	29200	31300	2190	37.6                   
WT	WT345X209.5	26800	28200	1990	37.1                   
WT	WT345X192	24600	25500	1790	36.8                     
WT	WT345X175	22400	23100	1600	36.3                     
WT	WT345X161.5	20600	20900	1470	36.1                   
WT	WT345X144.5	18500	18500	1290	35.8                   
WT	WT345X132.5	17000	17200	1160	35.3                   
WT	WT345X120	15400	15500	1030	35.1                     
WT	WT345X108.5	13900	14000	924	34.8                    
WT	WT345X96	12200	13400	384	35.1                       
WT	WT345X85	10800	12000	330	34.5                       
WT	WT345X76	9680	10700	290	34.3                        
WT	WT345X70	8900	9950	258	34.3                         
WT	WT345X62.5	8000	8990	220	34                         
WT	WT305X275.5	35200	32400	2420	35.6                   
WT	WT305X249	31700	28600	2140	35.1                     
WT	WT305X227.5	29000	25400	1910	34.5                   
WT	WT305X207.5	26500	22700	1710	34                     
WT	WT305X186	23700	19900	1510	33.5                     
WT	WT305X170.5	21700	17900	1360	33                     
WT	WT305X153.5	19500	15900	1200	32.8                   
WT	WT305X142.5	18200	14600	1100	32.3                   
WT	WT305X131	16600	13300	999	32                        
WT	WT305X120.5	15400	12200	920	31.8                    
WT	WT305X108.5	13900	11000	812	31.5                    
WT	WT305X97.5	12500	9910	708	31                        
WT	WT305X87	11100	8820	620	30.7                        
WT	WT305X77.5	9870	7870	541	30.5                       
WT	WT305X76.5	9740	8490	248	31.2                       
WT	WT305X70	8900	7740	227	31                           
WT	WT305X62.5	8000	6910	196	30.7                       
WT	WT305X56.5	7230	6290	172	30.5                       
WT	WT305X50.5	6450	5700	147	30.2                       
WT	WT305X46	5880	5450	71.6	30.2                        
WT	WT305X41	5230	4870	60.4	30                          
WT	WT265X204.5	26400	17500	1640	30.7                   
WT	WT265X184.5	23900	15300	1450	30.2                   
WT	WT265X166	21400	13500	1280	29.7                     
WT	WT265X150	19100	11900	1130	29.2                     
WT	WT265X136	17300	10500	1000	29                       
WT	WT265X124	15700	9410	903	28.4                       
WT	WT265X109.5	13900	8490	783	27.9                     
WT	WT265X98	12500	7530	691	27.7                        
WT	WT265X91	11500	6910	633	27.4                        
WT	WT265X82.5	10500	6240	570	27.4                      
WT	WT265X75	9610	5620	516	27.2                         
WT	WT265X69	8840	5990	193	27.4                         
WT	WT265X61.5	7870	5290	169	27.2                       
WT	WT265X54.5	6900	4580	147	26.9                       
WT	WT265X50.5	6450	4290	135	26.9                       
WT	WT265X46	5890	3900	119	26.7                         
WT	WT265X41	5230	3510	101	26.4                         
WT	WT265X36	4560	3120	80.7	26.2                        
WT	WT265X42.5	5400	3760	63.7	26.7                      
WT	WT265X37	4750	3340	52	26.4                          
WT	WT265X33	4190	2960	42.9	26.2                        
WT	WT230X232	29500	15900	1660	28.4                     
WT	WT230X210.5	26900	14000	1470	27.7                   
WT	WT230X192	24500	12400	1310	27.2                     
WT	WT230X174.5	22100	10900	1160	26.7                   
WT	WT230X157.5	20100	9530	1020	26.2                    
WT	WT230X143	18100	8410	916	25.9                       
WT	WT230X130	16600	7530	816	25.4                       
WT	WT230X117.5	15000	6660	724	25                       
WT	WT230X106.5	13500	5910	649	24.8                     
WT	WT230X96.5	12400	5290	579	24.5                      
WT	WT230X88.5	11400	4950	524	24.1                      
WT	WT230X79	10100	4330	458	23.8                        
WT	WT230X72	9160	3900	416	23.6                         
WT	WT230X64	8190	3430	365	23.4                         
WT	WT230X56.5	7160	2990	317	23.1                       
WT	WT230X53	6710	3250	125	23.5                         
WT	WT230X48.5	6160	2940	114	23.3                       
WT	WT230X44.5	5690	2690	104	23.2                       
WT	WT230X41	5230	2480	93.7	23                          
WT	WT230X37	4740	2230	83.2	22.9                        
WT	WT230X34	4370	2170	47	22.9                          
WT	WT230X30	3790	1860	39.8	22.7                        
WT	WT230X26	3320	1670	31.9	22.5                        
WT	WT205X74.5	9480	3200	388	21.6                       
WT	WT205X66	8450	2800	338	21.3                         
WT	WT205X57	7290	2370	288	21                           
WT	WT205X50	6330	2020	248	20.8                         
WT	WT205X42.5	5410	2030	89.9	20.9                      
WT	WT205X37.5	4750	1760	77.4	20.7                      
WT	WT205X33.5	4280	1570	68.3	20.5                      
WT	WT205X30	3800	1380	59.9	20.3                        
WT	WT205X26.5	3410	1270	50.8	20.1                      
WT	WT205X23.05	2940	1140	25.8	20.2                     
